title,year,author,genres,pages
Doctor Who,2006,Gary Russell,Performing Arts,256
Terry Jones' Medieval Lives,2005,"Terry Jones, Alan Ereira",History,240
Colossians and Philemon,2005,Robert McL Wilson,Religion,512
Lord of the Flies,1954,William Golding,,223
Death of a Naturalist,1969,Seamus Heaney,Poetry,57
The Real Thing,1984,Tom Stoppard,Drama,112
"New Selected Poems of Seamus Heaney, 1966-1987",2002,Seamus Heaney,,246
Immortality,1992,Milan Kundera,,400
The Complete Herbal Handbook for the Dog and Cat,1991,Juliette de Baïracli Levy,,368
The White Castle,1990,Orhan Pamuk,,161
Even Cowgirls Get the Blues ; My Own Private Idaho,1993,Gus Van Sant,,199
Lawrence Durrell,1998,Ian S. MacNiven,Biography & Autobiography,801
The Last Temptation,2000,Nikos Kazantzakis,Fiction,589
Tales from Ovid,1997,"Ovid, Ted Hughes",,264
View with a Grain of Sand,1996,Wisława Szymborska,,214
The New Life,1998,Orhan Pamuk,,296
Tom Stoppard: Plays 5,1999,Tom Stoppard,Drama,608
Garden State,2002,Rick Moody,,212
Beowulf,1999,Seamus Heaney,,106
Letters Home,1999,Sylvia Plath,,502
The Poisonwood Bible,2000,Barbara Kingsolver,,616
"Girl, Interrupted",2000,"James Mangold, Lisa Loomer, Anna Hamilton Phelan",Performing Arts,167
Gilliam on Gilliam,1999,"Terry Gilliam, Ian Christie",Performing Arts,294
The Music of Chance,2000,Paul Auster,,217
My Century,2000,Günter Grass,,248
Taxi Driver,2000,Paul Schrader,Performing Arts,116
"The Journals of Sylvia Plath, 1950-1962",2001,Sylvia Plath,,752
Laughable Loves,1999,Milan Kundera,,287
Herzog on Herzog,2003,Paul Cronin,Performing Arts,352
Collected Children's Stories,2001,Sylvia Plath,,54
The Wars,2001,Timothy Findley,Fiction,218
Famous Last Words,2001,Timothy Findley,,416
Finders Keepers,2003,Seamus Heaney,,432
Fat Pig,2004,Neil LaBute,Drama,112
A Beautiful Mind,2001,Sylvia Nasar,,461
The Greek Islands,2002,Lawrence Durrell,Biography & Autobiography,332
Vernon God Little,2004,D. B. C. Pierre,,279
Finnegans Wake,1975,James Joyce,,628
Tales From Firozsha Baag (Ji),2002,Rohinton Mistry,,250
The Kid Stays in the Picture,2004,Robert Evans,,462
The Moth Diaries,2005,Rachel Klein,,245
The Unbearable Lightness of Being,2004,Milan Kundera,,320
A Pale View of Hills,2005,Kazuo Ishiguro,Fiction,183
The Unconsoled,2005,Kazuo Ishiguro,Fiction,535
The Avignon Quintet,2004,Lawrence Durrell,,1376
City of Glass,2005,"Paul Auster, Paul Karasik, David Mazzucchelli",,144
Breakfast of Champions,1984,,Science fiction,106
Medea,1976,Robinson Jeffers,,130
Eric,1990,Terry Pratchett,Fantasy fiction,126
Soul Music,1999,Terry Pratchett,,424
The Last Hero,2001,Terry Pratchett,,160
The Man in the High Castle,2001,Philip K. Dick,,256
Worlds,2002,Joe Haldeman,Fiction,240
Dark Lord of Derkholm,2003,Diana Wynne Jones,Fantasy fiction,328
Replay,2005,Ken Grimwood,,272
Grendel,2004,John Gardner,,144
The Hyperion Omnibus,2004,Dan Simmons,Fiction,779
A Scanner Darkly,2006,Philip K. Dick,Detective and mystery stories,219
Dark Visions,2000,"Stephen King, George R. R. Martin, Dan Simmons",,381
A Sudden Wild Magic,1997,Diana Wynne Jones,,380
The Body,1999,"Stephen King, Robin Waterfield",,80
The Firm,1999,John Grisham,Fiction,76
Of Mice and Men,2000,"John Steinbeck, Susan Shillinglaw",,160
The Caves of Steel,1993,Isaac Asimov,Fiction,206
Banco,1973,Henri Charrière,Biography & Autobiography,406
A Darkness at Sethanon,1987,Raymond E. Feist,English fiction,527
Faerie Tale,1989,Raymond E. Feist,,490
2061,1997,Arthur C. Clarke,,302
Mistress of the Empire,1997,"Raymond E. Feist, Janny Wurts",English fiction,860
Servant of the Empire,1990,"Raymond E. Feist, Janny Wurts",,827
The Master of Whitestorm,1992,Janny Wurts,Fantasy fiction,413
The Curse of the Mistwraith,2004,Janny Wurts,Fiction,830
Magician,1993,Raymond E. Feist,Adventure stories,681
The witches,1997,Roald Dahl,Juvenile Nonfiction,208
Common Ground,1997,Molly Bang,Juvenile Nonfiction,40
Expository Writing,1998,Tara McCarthy,Juvenile Nonfiction,88
Scary stories 3,1991,Alvin Schwartz,,113
Descriptive Writing,1998,Tara McCarthy,Language Arts & Disciplines,
Persuasive Writing,1998,Tara McCarthy,Juvenile Nonfiction,64
P.S. Longer Letter Later,1999,Paula Danziger,,234
How Much is that Guinea Pig in the Window?,1995,Joanne Rocklin,,48
"The lion, the witch and the wardrobe",1995,Clive Staples Lewis,,189
Something Fishy at Macdonald Hall,2000,Gordon Korman,Juvenile Fiction,208
Run,1973,William Sleator,Detective and mystery stories,137
Blind Flight,1982,Hilary Milton,,122
Trapped!,1983,Arthur Roth,,119
The Trolley Car Family,1987,Eleanor Clymer,,256
Mrs. Piggle-Wiggle's farm,1987,Betty MacDonald,,128
Radio Fifth Grade,1991,Gordon Korman,Juvenile Fiction,192
Avalanche,1989,Arthur Roth,,144
Drina Dances Again,1989,Jean Estoril,,186
Blubberina,1989,Jahnna N. Malcolm,,135
The Littles and the Lost Children,1991,John Peterson,Juvenile Fiction,112
Vampires Don't Wear Polka Dots,1990,"Debbie Dadey, Marcia Thornton Jones",Juvenile Fiction,80
Werewolves Don't Go to Summer Camp,1991,"Debbie Dadey, Marcia Thornton Jones",Juvenile Fiction,96
Koko's Kitten,1987,"Francine Patterson, Ronald H. Cohn",Juvenile Nonfiction,32
The Stranger,1993,Caroline B. Cooney,,198
The mystery of the missing cat,1994,Gertrude Chandler Warner,,119
These Happy Golden Years,1953,Laura Ingalls Wilder,Adventure stories,289
On the Banks of Plum Creek,1965,Laura Ingalls Wilder,,339
Babysitters Club,1995,Ann M. Martin,Juvenile Fiction,0
Mary Anne and the Little Princess,1996,Ann M. Martin,Juvenile Fiction,142
"Good-bye Stacey, Good-bye",1988,Ann M. Martin,,132
Angels Don't Know Karate,1996,"Debbie Dadey, Marcia Thornton Jones",Juvenile Fiction,67
The Littles and Their Amazing New Friend,1999,John Peterson,Juvenile Fiction,112
The Meanest Thing to Say,1997,"Bill Cosby, Varnette P. Honeywood",Juvenile Fiction,40
The BFG,1982,Roald Dahl,,207
Wanted!,1997,Caroline B. Cooney,Juvenile Fiction,230
The Illustrated A Brief History of Time,1996,Stephen W. Hawking,,259
A Brief History of Time,1998,Stephen Hawking,,241
Firedrake,2000,Richard A. Knaak,Fiction,276
Vesco from Wall Street to Castro's Cuba,2003,Arthur Herzog,BIOGRAPHY & AUTOBIOGRAPHY,408
The Changeling,2004,Zilpha Keatley Snyder,Juvenile Fiction,228
High performance MySQL,2004,"Jeremy D. Zawodny, Derek J. Balling",,304
Hackers & Painters,2004,Paul Graham,,272
BSD Hacks,2004,Dru Lavigne,,450
IMovie 4 & IDVD,2004,David Pogue,,496
Ruby Cookbook,2006,"Lucas Carlson, Leonard Richardson",,873
MySQL Cookbook,2007,Paul DuBois,,980
CSS Cookbook,2006,Christopher Schmitt,,516
The New Hite Report,2000,Shere Hite,,667
One Hundred Years of Solitude,2006,"Gabriel Garcia Marquez, Gregory Rabassa",Fiction,417
The Barefoot Contessa Cookbook,1999,Ina Garten,Cooking,256
Execution,2002,"Larry Bossidy, Ram Charan, Charles Burck",Business & Economics,278
Full House,1997,Stephen Jay Gould,Science,256
Awakening Intuition,1999,Mona Lisa Schulz,Health & Fitness,397
Dispatches from the Tenth Circle,2001,Robert Siegel,Humor,174
Theater Shoes,1994,Noel Streatfeild,Juvenile Fiction,252
The Princess Diaries,2001,Meg Cabot,Juvenile Fiction,283
Laura Ingalls Wilder Country,1990,"William Anderson, William T Anderson, Ed.",History,120
East of Eden,1992,John Steinbeck,Fiction,602
The Two Towers,1994,John Ronald Reuel Tolkien,Fiction,328
Farmer Giles of Ham,1999,John Ronald Reuel Tolkien,Fiction,127
The ring sets out,1994,John Ronald Reuel Tolkien,,283
Unweaving the Rainbow,2000,Richard Dawkins,Science,352
Baumgartner's Bombay,2000,Anita Desai,Fiction,240
The 42nd Parallel,2000,John Dos Passos,Fiction,326
Nineteen Nineteen,2000,John Dos Passos,Fiction,400
The Big Money,2000,John Dos Passos,Fiction,464
The Letters of J.R.R. Tolkien,2000,John Ronald Reuel Tolkien,Biography & Autobiography,502
J.R.R. Tolkien,2000,Humphrey Carpenter,Biography & Autobiography,304
The Origin of Consciousness in the Breakdown of the Bicameral Mind,2000,Julian Jaynes,Philosophy,491
Clear Light of Day,2000,Anita Desai,Fiction,183
The History of the Lord of the Rings,2000,"John Ronald Reuel Tolkien, Christopher Tolkien",Fiction,1680
The Return of the Shadow,2000,"John Ronald Reuel Tolkien, Christopher Tolkien",Fiction,512
J.R.R. Tolkien,2000,"Wayne G. Hammond, Christina Scull",Art,224
The Heart is a Lonely Hunter,2000,Carson McCullers,Fiction,359
Once a Wolf,2001,"Stephen R. Swinburne, Jim Brandenburg",Juvenile Nonfiction,48
Stern Men,2001,Elizabeth Gilbert,Fiction,304
Colter,2001,Rick Bass,Biography & Autobiography,208
Chimera,2001,John Barth,Fiction,308
Henry Adams and the Making of America,2005,"Garry Wills, Pulitzer Prize-Winning Journalist and Historian Garry Wills",Biography & Autobiography,480
Nixon Agonistes,2002,Garry Wills,Biography & Autobiography,640
The Lord of the Rings,2001,J. R. R. Tolkien,Fiction,1223
Hear the Wind Blow,2003,Mary Downing Hahn,Juvenile Fiction,224
Midnight is a Place,2002,Joan Aiken,Juvenile Fiction,304
Silent Spring,2002,Rachel Carson,Nature,378
The Best American Sports Writing 2003,2003,"Glenn Stout, Buzz Bissinger",Sports & Recreation,352
Two of Us,2004,Peter Smith,Biography & Autobiography,206
Queen of Scots,2004,John Alexander Guy,History,581
Inventing America,2002,Garry Wills,History,432
The Lord of the Rings,2002,Jude Fisher,Fiction,72
The Lord of the Rings,2002,Brian Sibley,Performing Arts,192
"The Hobbit, Or, There and Back Again",2001,John Ronald Reuel Tolkien,Juvenile Fiction,366
The Lord of the Rings,2002,John Ronald Reuel Tolkien,Fiction,1216
The Best American Mystery Stories 2004,2004,"Nelson DeMille, Otto Penzler",Fiction,448
Fergus and the Night-Demon,2006,Jim Murphy,Juvenile Fiction,32
The Fellowship of the Ring,2003,J. R. R. Tolkien,Fiction,398
The Hermit's Story,2003,Rick Bass,Fiction,192
The Lord of the Rings,2003,Chris Smith,Literary Criticism,218
JRR Tolkien Companion & Guide,2006,"Christina Scull, Wayne G. Hammond",Literary Criticism,1002
The Maps of Tolkien's Middle-earth,2003,Brian Sibley,Fiction,80
Understanding the Lord of the Rings,2005,"Neil D. Isaacs, Rose A. Zimbardo",Literary Criticism,304
Dunk,2004,David Lubar,Juvenile Fiction,272
The Bake Shop Ghost,2005,"Jacqueline K. Ogburn, Marjorie Priceman",Juvenile Fiction,32
Reefer Madness,2004,Eric Schlosser,Business & Economics,352
The Last Shot,2004,Darcy Frey,Sports & Recreation,233
Dark Star Safari,2004,Paul Theroux,Travel,485
The Best American Sports Writing 2006,2006,"Glenn Stout, Michael Lewis",Sports & Recreation,416
"Since 1500, Chapters 15-30",2005,Richard W. Bulliet,Science,34
Trip to the North Pole,2004,"Ellen Weiss, Robert Zemeckis, William Broyles, Chris Van Allsburg",Fiction,128
Fun Home,2006,Alison Bechdel,Biography & Autobiography,240
"Natural Health, Natural Medicine",2004,Andrew Weil,Health & Fitness,448
The Namesake,2004,Jhumpa Lahiri,Fiction,291
Entre Amis,2005,"Michael Oates, Larbi Oukada",,528
The Lord of the Rings Complete Visual Companion,2004,Jude Fisher,Fiction,224
The Heart is a Lonely Hunter,2000,Carson McCullers,Fiction,359
Firefighters in the Dark,2006,"Dashka Slater, Nicoletta Ceccoli",Juvenile Fiction,32
Tolkien And The Great War,2005,John Garth,Biography & Autobiography,398
The Two Towers,2004,John Ronald Reuel Tolkien,Fiction,413
The Lord of the Rings: The return of the king,1967,John Ronald Reuel Tolkien,Fantasy fiction,508
The Best American Travel Writing 2006,2006,"Tim Cahill, Jason Wilson",Travel,352
The Best American Spiritual Writing 2006,2006,Philip Zaleski,,336
The Polar Express,2005,Chris Van Allsburg,Juvenile Fiction,32
Mcdougal Littell Science,2005,"James Trefil, Houghton Mifflin Company, Rita Ann Calvo, Kenneth Cutler",Juvenile Nonfiction,972
Bury the Chains,2006,Adam Hochschild,History,496
The Ancestor's Tale,2005,"Richard Dawkins, Yan Wong",Science,688
The Lord of the Rings Sketchbook,2005,Alan Lee,Art,192
Gossamer,2006,Lois Lowry,Juvenile Fiction,144
In the Lake of the Woods,2006,Tim O'Brien,Fiction,303
Chew on this,2006,"Eric Schlosser, Charles Wilson",Juvenile Nonfiction,259
The Diezmo,2006,Rick Bass,Fiction,224
Three Nights in August,2006,"H. G. Bissinger, Buzz Bissinger",Sports & Recreation,287
Extremely Loud and Incredibly Close,2006,Jonathan Safran Foer,Fiction,326
The Hungry Tide,2006,Amitav Ghosh,Fiction,333
King Leopold's Ghost,2006,Adam Hochschild,History,384
The Chosen,2006,Jerome Karabel,Education,736
Children of Húrin,2007,John Ronald Reuel Tolkien,Fiction,313
The Ideology of the Aesthetic,1991,Terry Eagleton,Literary Criticism,432
On Certainty,1991,Ludwig Wittgenstein,Philosophy,114
Western Philosophy,1996,John G. Cottingham,Philosophy,656
Liberals and Communitarians,1996,"Stephen Mulhall, Adam Swift",Political Science,388
Philosophical Investigations,1991,Ludwig Wittgenstein,Philosophy,464
Michael W. Smith,2002,Michael W. Smith,Music,72
"The Mystery of the Ancient Pyramid (Cairo, Egypt)",2006,Carole Marsh,Juvenile Fiction,128
The Gospel According to Tolkien,2003,Ralph C. Wood,Literary Criticism,169
That Godless Court?,2005,Ronald Bruce Flowers,Religion,228
Luther and Erasmus,1969,"Ernest Gordon Rupp, Philip Saville Watson",Religion,364
The New Spirit,1970,Havelock Ellis,,422
Self-made Man,2006,Norah Vincent,Social Science,290
Swapping Lives,2005,Jane Green,Fiction,410
The Roald Dahl Treasury,2003,Roald Dahl,Juvenile Fiction,448
Mayflower,2006,Nathaniel Philbrick,History,461
Special Topics in Calamity Physics,2006,Marisha Pessl,Fiction,514
Helen of Troy,2006,Margaret George,Fiction,611
Dust,2007,Martha Grimes,Fiction,342
The Mistress's Daughter,2007,A. M. Homes,Biography & Autobiography,256
Vinyl Cafe Diaries,2003,Stuart McLean,,302
Death of a Salesman,1967,Arthur Miller,Fiction,139
Spycatcher,1987,Peter Wright,,392
The Adventures of Pippi Longstocking,1997,"Astrid Lindgren, Michael Chesworth",Juvenile Fiction,290
Haroun and the Sea of Stories,1999,Salman Rushdie,Fiction,224
Matthew Flinders' Cat,2002,Bryce Courtenay,,611
Artemis Fowl,2003,Eoin Colfer,Children's stories,329
In the Shadow of No Towers,2004,Art Spiegelman,,48
Echo Platoon,2001,"Richard Marcinko, John Weisman",Fiction,402
Pieces,2000,Stephen Chbosky,Fiction,155
The Law of Enclosures,1997,Dale Peck,Fiction,320
You Belong To Me,1999,Mary Higgins Clark,Fiction,384
Runaways,1998,V.C. Andrews,Fiction,342
Private Parts,1997,"Howard Stern, John D. Simons",Biography & Autobiography,660
My Gal Sunday,2003,Mary Higgins Clark,Fiction,206
The Millionaire Next Door,1998,"Thomas J. Stanley, William D. Danko",Biography & Autobiography,258
The Tenth Man,1998,Graham Greene,Fiction,160
The Gun Seller,1998,Hugh Laurie,Fiction,340
She's Come Undone,1998,Wally Lamb,Fiction,465
Morgan's Run,2002,Colleen McCullough,Fiction,848
The October Horse,2003,Colleen McCullough,Fiction,1110
Bag of Bones,1999,Stephen King,Fiction,736
Wither,2000,J G Passarella,Fiction,438
The Last Dance,2000,Ed McBain,Fiction,336
The Empty Chair,2001,Jeffery Deaver,Fiction,512
Clive Cussler and Dirk Pitt Revealed,1998,"Clive Cussler, Craig Dirgo",Fiction,544
All Through the Night,1999,Mary Higgins Clark,Fiction,256
The Fuck Up,1999,Arthur Nersesian,Fiction,304
How to Stop Worrying and Start Living,2004,Dale Carnegie,Psychology,358
Present Tense,2002,L. A. Graf,Fiction,253
Carrie,2002,Stephen King,Fiction,253
Salem's Lot,1999,Stephen King,Fiction,631
Ice,2001,V. C. Andrews,Fiction,208
The Living Blood,2002,Tananarive Due,Fiction,515
Diablo: Legacy of Blood,2001,Richard A. Knaak,Fiction,355
The Girl Who Loved Tom Gordon,1999,Stephen King,Fiction,264
Venice: Lion City,2002,Garry Wills,History,416
Uncle Shelby'S Abz Book,1985,Shel Silverstein,Education,80
Confessions of an Actor,1982,Laurence Oliver,Performing Arts,348
"Soldier, general of the army, president-elect, 1890-1952",1985,Stephen E. Ambrose,Biography & Autobiography,637
The Bluest Eye,1972,Toni Morrison,,160
Mornings on Horseback,1982,David McCullough,Biography & Autobiography,445
Sweet and Low,1982,Emma Lathen,Fiction,189
The Canterbury Tales of Geoffrey Chaucer,2004,"Simon & Schuster, Limited",Poetry,383
Guilty as Charged,1996,Scott Turow,Fiction,10
The Night Awakens,2000,Mary Higgins Clark,Fiction,303
The Leader In You,1995,Dale Carnegie,Self-Help,256
Sharp Edges,1998,Jayne Ann Krentz,Fiction,368
Harvest,1997,Tess Gerritsen,Fiction,368
Life Support,1998,Tess Gerritsen,Fiction,400
Alien Stars,1985,"C. J. Cherryh, Haldeman, Joe W, Mitchell, Elizabeth, Zahn, Timothy",Fiction,254
Orchid,1998,Jayne Castle,Fiction,327
The Man Who Sold The Moon,2000,Robert A. Heinlein,Fiction,295
Teach Your Child to Read in 100 Easy Lessons,1986,"Siegfried Engelmann, Phyllis Haddox, Elaine Bruner",Education,395
Field Guide to Home Buying in America,1988,"Stephen M. Pollan, Mark Levine",Business & Economics,256
Wind Child,1990,Nancy Harding,Fiction,331
Anne Frank Remembered,1988,"Miep Gies, Alison Leslie Gold",History,252
Ghost Story,1989,Peter Straub,Fiction,567
Blue World,1990,Robert R. McCammon,Fiction,435
Cyclops,1989,Clive Cussler,Fiction,473
The Seven Habits of Highly Effective People,1990,Stephen R. Covey,Business & Economics,368
A Cast of Corbies,1994,"Josepha Sherman, Mercedes Lackey",Fiction,320
Shakespeare's Sonnets,2004,"Helen Hunt, William Shakespeare",Drama,391
The Color Purple,1985,Alice Walker,Fiction,295
Night of the Fox,1991,Jack Higgins,Fiction,352
Wolf's Hour,1990,Robert McCammon,Fiction,603
Journey To Ixtlan,1991,Carlos Castaneda,"Body, Mind & Spirit",272
Second Ring of Power,1991,Carlos Castaneda,Fiction,328
Power of Silence,1991,Carlos Castaneda,Fiction,288
Fire from Within,1984,Carlos Castaneda,"Body, Mind & Spirit",304
Tales of Power,1992,Carlos Castaneda,Fiction,304
STINGER,1988,Robert McCammon,Fiction,538
The Story of Philosophy,1991,Will Durant,Biography & Autobiography,704
Swan Song,1987,Robert McCammon,Fiction,956
Long Dark Tea-Time of the Soul,1990,Douglas Adams,Fiction,307
Boy's Life,1992,Robert McCammon,Fiction,580
Joy Within,1990,"Joan Goldstein, Manuela Soares","Body, Mind & Spirit",144
Mystery Walk,1992,Robert R. McCammon,Fiction,432
Justine,1969,Lawrence Durrell,,253
The Hidden Persuaders,1958,Vance Packard,,242
Best Stories,1971,Hugh Garner,,465
Principle Centered Leadership,1992,Stephen R. Covey,Business & Economics,336
In the Name of Love,1998,Ann Rule,Literary Criticism,414
Star Trek: The Next Generation: Nightshade,1992,Laurell K. Hamilton,Fiction,276
Scar Lover,1993,Harry Crews,Fiction,288
End zone,1973,Don DeLillo,Fiction,200
The Good Earth,1958,Pearl Sydenstricker Buck,,260
Star Trek,1995,Alan Dean Foster,,788
Lincoln at Gettysburg,1992,Garry Wills,History,317
Forever After,1995,Roger Zelazny,Fiction,291
The Ship Avenged,1997,S. M. Stirling,Fiction,364
